日期,药品类型,销售额
2020-04-24,中成药,2356.96
2023-03-02,中成药,3247.51
2021-01-05,西药,2942.54
2015-02-13,中成药,3365.1
2021-10-13,中成药,1576.96
2020-05-20,西药,4314.84
2020-06-14,西药,4008.46
2022-06-08,西药,2204.7
2015-01-08,中成药,1928.85
2016-11-30,西药,2709.96
2016-03-06,西药,4965.02
2015-08-05,中成药,2340.48
2018-11-09,西药,2938.15
2021-10-04,西药,4337.83
2020-01-13,西药,1570.23
2017-08-22,中成药,1847.98
2023-02-12,西药,2184.71
2014-07-11,西药,4509.89
2021-05-18,中成药,3284.8
2019-02-15,中成药,4028.19
2018-08-25,中成药,4603.84
2020-02-24,西药,3779.81
2016-12-28,西药,4753.22
2023-12-11,西药,1001.61
2022-05-29,西药,2446.66
2017-08-07,西药,2550.6
2020-08-17,西药,4814.53
2015-11-15,中成药,3863.3
2019-02-09,中成药,1601.89
2020-08-11,中成药,2241.23
2016-04-27,西药,1272.69
2015-12-26,西药,3732.99
2019-06-21,西药,2768.43
2023-12-09,西药,2777.92
2017-06-13,中成药,3750.89
2017-07-25,中成药,3994.58
2022-09-26,西药,3120.21
2020-11-18,中成药,2035.62
2018-11-01,中成药,2113.47
2017-07-17,西药,3730.47
2023-05-12,西药,3476.49
2020-10-16,中成药,3182.78
2019-06-17,西药,2800.23
2021-11-06,西药,3149.1
2019-12-13,西药,2412.41
2014-05-04,西药,4866.62
2021-07-15,中成药,2240.94
2019-05-12,西药,2580.62
2018-05-03,西药,1421.57
2014-08-27,中成药,1295.19
2023-07-19,中成药,1242.73
2023-06-19,西药,1861.44
2018-11-20,西药,4448.81
2021-05-04,中成药,3412.98
2023-10-02,西药,4517.85
2023-03-24,中成药,1952.5
2014-10-03,中成药,3080.65
2017-08-13,西药,1421.46
2015-08-03,中成药,4487.37
2023-08-06,中成药,1964.98
2015-10-16,中成药,3856.35
2017-05-16,西药,3277.51
2023-09-21,中成药,1036.66
2020-04-07,西药,1838.76
2018-03-18,中成药,3390.67
2014-11-25,西药,2452.33
2016-07-12,西药,1789.88
2015-02-09,中成药,2803.36
2019-02-20,西药,3764.22
2021-07-12,中成药,3277.22
2016-05-06,中成药,4123.05
2014-04-22,西药,2470.86
2015-03-05,中成药,1146.2
2022-09-07,中成药,3603.89
2015-07-03,西药,1745.75
2016-11-26,西药,3020.83
2018-05-20,中成药,3213.48
2017-01-20,中成药,3972.77
2014-06-06,中成药,1101.4
2014-04-26,西药,3010.55
2021-04-08,西药,4575.73
2014-07-12,中成药,3940.28
2020-03-30,中成药,3880.63
2016-10-08,西药,1209.03
2017-05-12,中成药,3321.87
2014-03-05,中成药,4272.06
2022-01-02,西药,3944.14
2020-11-24,西药,4690.42
2019-02-04,中成药,2373.55
2023-11-08,中成药,1524.32
2021-11-24,西药,4648.83
2018-10-05,西药,3143.74
2021-02-25,中成药,2599.93
2018-05-05,西药,2040.95
2018-05-31,西药,1076.52
2022-09-13,西药,4873.68
2014-09-19,西药,4368.48
2020-01-29,中成药,4970.06
2021-10-25,中成药,3626.25
2022-06-19,西药,4880.47
2017-11-15,中成药,2714.81
2017-08-12,中成药,4803.09
2014-03-11,中成药,2454.52
2022-04-22,中成药,2945.93
2015-01-29,西药,2603.41
2017-12-08,西药,2905.34
2017-09-21,西药,1094.38
2018-04-02,西药,2737.61
2018-01-04,中成药,4016.99
2022-09-16,中成药,1259.6
2022-07-30,西药,3003.51
2023-10-06,中成药,2130.67
2015-05-01,西药,4747.32
2015-12-27,中成药,2988.7
2015-04-27,西药,2557.18
2015-04-26,中成药,1331.19
2021-05-03,中成药,4413.27
2021-03-20,中成药,1770.71
2018-08-01,西药,1809.02
2022-12-09,中成药,2461.47
2016-08-08,西药,1020.92
2018-11-27,中成药,2445.62
2019-04-18,西药,3703.29
2019-07-10,中成药,1324.92
2020-11-24,中成药,3910.52
2014-09-19,中成药,4879.66
2021-09-20,中成药,1069.99
2020-03-01,中成药,2152.74
2019-01-18,西药,2549.29
2021-02-05,西药,4765.34
2022-02-28,中成药,2601.43
2021-12-17,西药,1226.5
2020-03-14,中成药,3288.49
2014-02-06,中成药,1022.09
2022-10-04,中成药,2992.76
2023-04-03,中成药,4996.83
2014-08-19,中成药,1470.1
2019-08-04,中成药,3501.32
2020-10-26,西药,1969.41
2022-06-06,中成药,3973.41
2022-06-01,西药,2949.5
2015-11-21,中成药,2436.93
2016-02-18,西药,2644.11
2016-09-30,西药,4106.84
2021-04-14,中成药,2130.2
2022-12-29,西药,2681.0
2020-05-02,中成药,2326.47
2021-11-05,中成药,4285.89
2019-02-10,西药,3006.07
2016-12-24,西药,3571.53
2023-07-20,西药,2744.19
2019-03-12,中成药,3379.39
2016-06-20,中成药,2413.01
2019-11-04,中成药,3592.93
2020-06-27,中成药,2499.3
2023-05-13,西药,4872.09
2019-09-25,中成药,1513.3
2019-06-19,西药,1844.5
2022-08-06,西药,1779.77
2022-01-25,西药,1769.26
2023-03-18,中成药,2349.44
2014-10-29,西药,1354.81
2017-05-05,西药,3166.82
2017-01-05,中成药,4907.2
2023-09-14,中成药,3615.98
2017-03-03,西药,1525.96
2018-10-28,中成药,2074.25
2014-06-13,西药,3446.88
2014-12-31,中成药,1806.51
2016-07-07,西药,2353.07
2016-11-24,西药,3461.19
2020-08-27,中成药,3501.73
2021-11-28,中成药,3507.01
2016-12-10,中成药,2976.85
2019-09-15,西药,1379.86
2019-12-19,西药,3502.6
2018-05-09,西药,3740.54
2018-04-10,中成药,2083.23
2015-12-13,西药,1593.37
2014-08-01,中成药,1230.24
2023-09-04,中成药,1137.19
2015-02-08,西药,4702.27
2015-06-07,西药,3463.45
2019-03-12,西药,3955.47
2018-11-01,西药,4193.17
2021-12-25,西药,2898.13
2017-11-04,西药,1646.69
2021-07-27,中成药,2740.06
2019-09-02,西药,1538.31
2018-04-20,西药,4683.07
2014-06-06,西药,4850.59
2020-08-25,中成药,1584.08
2017-11-25,中成药,3256.3
2016-12-22,西药,4422.95
2015-03-27,中成药,1831.55
2016-07-08,中成药,4712.33
2015-05-29,西药,4378.2
2021-11-12,中成药,1654.46
2023-03-27,西药,4978.26
2014-04-19,西药,3985.97
2018-08-20,西药,4516.74
2016-05-02,中成药,2758.05
2018-11-20,中成药,4108.2
2023-12-06,西药,4615.81
2020-07-17,西药,1934.27
2017-12-29,中成药,3967.59
2015-03-28,中成药,1725.74
2021-01-24,西药,1161.34
2015-01-02,西药,3092.26
2015-11-06,西药,1160.44
2022-08-07,中成药,4307.47
2021-10-18,西药,2237.85
2014-03-23,西药,3143.1
2023-08-24,中成药,4730.59
2021-09-15,西药,1365.41
2022-07-16,中成药,3576.85
2019-07-26,西药,1411.37
2016-02-24,西药,2807.07
2022-03-24,中成药,3507.33
2019-08-18,中成药,3255.68
2021-03-10,西药,4866.82
2020-08-07,中成药,2136.74
2019-04-29,西药,2612.84
2017-02-10,中成药,2950.67
2015-10-16,西药,4206.91
2022-09-18,西药,3328.58
2017-02-24,中成药,4210.34
2014-03-21,西药,3912.87
2020-03-03,西药,1095.79
2015-09-07,西药,2637.34
2023-07-24,中成药,4739.29
2018-01-07,西药,1669.29
2017-10-23,中成药,4924.77
2015-03-16,中成药,1108.38
2018-07-08,中成药,2501.88
2023-05-10,西药,4674.09
2017-10-14,西药,4831.74
2018-07-16,中成药,1870.67
2016-07-07,中成药,1512.38
2023-04-02,中成药,4347.45
2015-08-29,中成药,2704.73
2018-04-26,西药,2710.41
2019-02-25,中成药,3125.82
2021-05-28,西药,3104.38
2019-11-10,中成药,1507.3
2015-08-12,西药,1427.92
2022-08-28,西药,2437.7
2018-06-03,中成药,1421.38
2014-02-11,中成药,2323.59
2016-07-15,中成药,4445.48
2018-01-07,中成药,3837.28
2019-01-10,西药,1198.46
2014-04-23,中成药,2060.81
2022-07-10,西药,3512.83
2023-07-09,中成药,2787.09
2015-03-19,中成药,4199.66
2021-11-21,中成药,4763.0
2014-03-03,中成药,2272.01
2022-03-14,中成药,3663.79
2018-01-15,西药,3788.84
2022-12-28,中成药,3788.05
2020-03-09,中成药,1785.18
2022-10-21,中成药,3885.8
2023-08-26,中成药,1820.75
2015-05-26,中成药,3789.68
2017-11-09,西药,1048.41
2016-03-28,中成药,4708.71
2020-06-03,西药,2428.77
2014-03-06,中成药,1027.81
2018-05-18,西药,4505.28
2020-02-11,西药,2584.0
2020-10-15,西药,3997.48
2019-06-09,西药,3176.79
2016-05-17,西药,4546.42
2023-11-22,中成药,4580.34
2022-06-23,西药,3571.23
2017-07-15,西药,2797.4
2020-09-20,中成药,3966.26
2016-01-09,中成药,4231.38
2021-02-13,西药,4931.79
2017-06-04,西药,4058.11
2015-04-04,西药,4793.81
2022-07-10,中成药,1423.22
2019-04-06,西药,2630.99
2021-01-17,西药,4597.0
2021-04-07,西药,2556.83
2023-11-30,西药,4622.33
2014-01-23,中成药,2035.12
2015-06-28,西药,1668.14
2022-04-14,西药,4801.12
2020-08-13,中成药,3582.14
2017-10-07,西药,3696.52
2018-03-12,中成药,3396.18
2023-02-15,西药,4027.16
2022-03-19,中成药,2941.16
2023-02-21,中成药,3535.13
2023-10-14,中成药,4015.25
2019-05-19,西药,1481.55
2022-06-27,中成药,1837.22
2014-03-01,中成药,4570.24
2022-05-02,西药,1823.95
2015-10-18,西药,4579.27
2021-01-26,中成药,1591.83
2019-06-15,中成药,1897.27
2023-09-10,中成药,3226.84
2019-02-01,西药,2247.52
2015-11-19,西药,4483.0
2018-09-17,西药,3110.71
2015-12-30,中成药,3758.11
2021-01-18,西药,1525.15
2023-12-14,中成药,2939.43
2015-10-25,西药,2347.58
2018-10-04,西药,4211.24
2020-07-23,中成药,1427.2
2023-07-27,西药,1124.27
2018-07-22,中成药,4212.01
2014-01-26,中成药,4878.34
2021-07-12,西药,3526.89
2020-12-24,西药,1159.69
2016-12-19,西药,1505.06
2019-09-10,中成药,3161.2
2016-09-17,西药,4210.57
2020-03-16,中成药,1987.43
2021-11-23,中成药,2011.35
2021-02-17,中成药,4478.13
2023-07-21,西药,4311.7
2020-10-20,中成药,4828.54
2014-03-10,西药,3812.08
2016-09-25,西药,1275.83
2015-05-06,中成药,2336.98
2019-03-29,西药,2928.53
2017-09-10,西药,2247.46
2017-07-01,中成药,1289.27
2019-05-08,西药,2233.87
2022-08-05,中成药,2022.66
2014-04-13,西药,1036.79
2017-12-08,中成药,4121.46
2015-04-15,西药,3306.07
2016-09-06,中成药,3544.71
2023-03-25,西药,1452.97
2017-01-12,中成药,3906.68
2021-01-25,中成药,2304.68
2023-06-18,西药,4911.41
2016-03-25,中成药,1386.71
2019-06-18,西药,4482.75
2021-12-11,西药,4263.82
2017-10-02,中成药,2462.72
2014-08-04,西药,4046.04
2014-08-31,西药,4604.63
2020-09-14,中成药,1588.65
2015-12-17,西药,3062.38
2021-05-07,西药,2483.89
2020-01-06,西药,1182.34
2016-01-17,中成药,1909.08
2020-04-04,西药,3699.57
2017-10-15,西药,1967.57
2022-03-02,西药,4590.13
2016-01-30,中成药,1973.93
2020-10-01,中成药,2695.08
2017-09-05,西药,2654.57
2019-01-11,中成药,3898.39
2018-10-26,中成药,1284.14
2015-04-29,西药,2188.49
2019-09-01,西药,3226.31
2021-11-08,中成药,3514.94
2021-04-08,中成药,4549.7
2015-12-28,西药,3282.44
2015-01-11,西药,4759.33
2016-02-20,中成药,2413.69
2018-10-12,中成药,1338.26
2014-07-18,西药,2715.98
2014-03-06,西药,3042.99
2017-04-16,西药,2244.87
2014-03-28,中成药,3048.37
2022-06-08,中成药,1619.14
2023-01-27,西药,3771.51
2016-03-04,西药,2617.28
2017-11-16,中成药,2923.56
2015-09-07,中成药,4935.91
2022-01-09,西药,3072.06
2019-11-05,西药,4762.02
2021-08-15,中成药,3786.76
2020-01-18,西药,1096.02
2014-09-14,中成药,4730.91
2015-06-27,西药,2869.61
2021-08-07,西药,2540.23
2022-03-17,西药,3737.74
2016-06-13,中成药,1266.61
2021-12-30,西药,1577.25
2023-09-27,中成药,2632.16
2014-06-30,西药,3573.15
2022-03-05,西药,1803.65
2020-07-03,中成药,2364.98
2023-09-06,西药,2729.75
2014-04-08,中成药,2356.12
2018-09-18,西药,4982.52
2022-01-19,西药,3507.21
2023-11-12,西药,1734.32
2019-05-27,中成药,1400.98
2023-05-03,西药,3839.14
2023-09-15,西药,1343.18
2015-10-03,中成药,3472.62
2019-10-01,中成药,2772.13
2015-06-13,中成药,4068.75
2019-01-24,西药,2061.99
2020-12-19,西药,1476.84
2019-06-08,中成药,3353.41
2014-11-11,西药,2009.75
2022-11-21,西药,1870.8
2015-11-09,西药,4493.69
2021-12-14,西药,2664.64
2020-09-08,中成药,1439.45
2014-01-02,西药,3394.63
2015-11-05,西药,2484.16
2014-01-04,中成药,1232.33
2020-10-27,中成药,3653.24
2019-06-10,中成药,2100.96
2019-07-21,中成药,4118.07
2021-06-14,中成药,1535.11
2017-11-08,中成药,3260.34
2018-09-09,西药,3478.1
2018-02-09,西药,4186.73
2018-06-23,中成药,3513.71
2016-06-26,西药,4871.44
2016-10-18,中成药,3093.56
2023-05-05,中成药,4900.98
2015-10-20,西药,3574.31
2021-08-22,中成药,1159.79
2015-05-01,中成药,3654.68
2016-12-05,西药,4432.71
2015-07-28,西药,3633.81
2019-07-11,中成药,1624.81
2022-12-23,西药,1211.74
2020-01-08,中成药,2186.45
2016-01-06,中成药,3268.07
2022-07-14,西药,1697.99
2020-10-15,中成药,1745.68
2017-12-16,中成药,2328.76
2019-08-30,中成药,3373.85
2017-07-24,中成药,3518.23
2018-07-17,西药,1021.25
2023-10-21,中成药,3919.56
2020-11-15,西药,2741.59
2019-09-01,中成药,3660.22
2018-12-15,西药,1700.49
2017-07-18,西药,3855.81
2017-10-22,西药,4374.6
2018-04-14,中成药,4805.96
2017-07-09,西药,4624.44
2020-10-10,中成药,4220.39
2021-06-04,西药,2644.45
2015-02-27,中成药,1594.65
2022-01-08,中成药,1079.89
2014-01-17,中成药,1260.21
2020-02-14,西药,4966.13
2022-05-28,西药,4207.3
2022-03-26,西药,3007.48
2014-06-23,中成药,3540.37
2021-01-11,西药,2507.94
2021-09-11,中成药,1407.52
2022-09-30,中成药,2119.07
2015-03-06,西药,1262.83
2015-06-19,西药,2148.96
2021-04-23,西药,1024.74
2016-10-01,西药,2950.28
2018-01-22,西药,3804.68
2014-09-15,中成药,1180.87
2020-02-04,西药,3313.44
2021-10-22,中成药,3258.38
2021-07-08,西药,4007.19
2018-05-24,中成药,2756.84
2021-05-08,中成药,4088.61
2015-08-24,中成药,4033.05
2022-11-05,中成药,2060.91
2021-01-01,西药,3523.08
2017-01-06,中成药,2690.19
2019-05-22,中成药,2228.87
2020-03-30,西药,2148.88
2014-01-07,西药,1849.36
2015-08-14,西药,2367.49
2020-02-03,中成药,2336.77
2015-11-29,中成药,2348.01
2017-05-07,中成药,2761.77
2017-12-01,西药,2129.91
2021-08-04,西药,1301.11
2018-12-27,西药,2865.2
2019-03-14,西药,1413.06
2017-11-28,西药,3023.83
2022-11-10,中成药,3631.8
2018-12-07,西药,2114.57
2019-06-06,西药,4149.49
2017-08-31,中成药,2471.14
2014-07-02,西药,2544.41
2017-05-07,西药,2209.33
2020-12-26,中成药,3283.63
2019-03-30,中成药,4363.63
2016-01-28,中成药,1783.11
2016-12-23,西药,4348.16
2014-06-27,西药,3569.68
2020-03-26,中成药,1615.13
2019-08-13,西药,2705.59
2018-09-06,西药,1057.53
2019-03-07,中成药,1043.24
2015-08-05,西药,3974.03
2019-09-26,西药,3802.45
2023-09-24,西药,1978.98
2023-08-10,西药,1314.14
2023-10-24,西药,2833.01
2023-06-09,西药,2534.27
2016-12-06,中成药,4276.25
2014-06-05,中成药,2755.89
2022-04-20,中成药,2967.71
2020-07-09,中成药,4018.28
2023-12-28,西药,2949.87
2018-05-17,中成药,2417.7
2015-05-07,西药,1300.55
2021-08-07,中成药,2040.19
2015-10-10,中成药,4202.35
2022-10-15,西药,3020.46
2022-01-21,中成药,2920.73
2015-07-17,中成药,3620.97
2022-06-24,西药,4749.92
2020-04-27,中成药,4235.31
2017-01-03,西药,4458.25
2023-01-19,西药,4056.38
2020-01-20,西药,4826.88
2014-01-24,西药,3080.27
2014-04-25,中成药,4568.19
2015-08-10,西药,2039.21
2021-06-28,西药,2251.34
2016-08-07,西药,4135.17
2015-04-06,中成药,4473.87
2023-04-03,西药,2147.39
2015-06-21,中成药,1168.37
2020-10-04,中成药,4638.19
2019-06-11,中成药,2085.97
2019-10-30,西药,2806.96
2022-06-16,西药,1683.25
2017-08-04,中成药,2735.27
2016-11-04,西药,2804.96
2017-08-23,中成药,2889.13
2015-04-19,中成药,1547.54
2019-10-25,西药,1481.79
2021-10-14,西药,4647.14
2018-02-01,西药,4868.14
2020-03-21,中成药,1855.98
2020-06-28,中成药,3874.87
2020-12-24,中成药,2686.85
2022-09-22,西药,4648.83
2021-01-23,西药,1903.16
2023-12-21,西药,3490.2
2015-05-20,西药,2957.7
2022-01-09,中成药,2821.58
2022-04-02,西药,1515.61
2020-01-10,中成药,1493.14
2022-02-22,西药,4301.76
2020-12-22,中成药,1180.61
2018-06-27,中成药,4373.3
2016-01-16,中成药,1950.18
2023-04-30,中成药,1051.29
2016-07-20,中成药,1709.72
2023-08-30,中成药,4210.62
2016-06-03,西药,2577.91
2018-02-06,西药,4461.18
2019-10-24,西药,4738.92
2021-06-19,西药,2644.58
2021-12-29,中成药,3417.22
2017-10-12,中成药,1589.21
2022-02-01,西药,4111.94
2022-12-14,中成药,2839.77
2018-04-05,西药,1968.09
2016-07-02,西药,4873.96
2020-12-27,西药,1426.49
2014-10-27,西药,1163.47
2019-07-14,中成药,4464.41
2015-05-23,西药,4700.99
2015-02-05,西药,1610.16
2015-06-17,西药,3950.33
2014-09-08,西药,3144.39
2016-09-19,中成药,1533.92
2016-08-07,中成药,2421.54
2021-12-10,西药,1400.62
2015-04-14,西药,4657.2
2017-02-26,西药,2588.06
2019-12-06,西药,1528.72
2019-09-18,西药,3127.49
